NCTId,final_date,start_date,field_changed,final_value,start_value
NCT01451281,2025-09-01 07:20:22.089753,2025-08-01 07:26:41.414466,Brief Summary,"Background:
\- Duchenne muscular dystrophy (DMD) is a disease in which the muscles are unable to make the protein dystrophin. Without this protein, the muscles become gradually weaker. A new medicine called GSK2402968 is being tested to see if it can help prevent or slow down this loss of muscle strength. In this study, boys with DMD and healthy volunteers will have different types of imaging studies to see which ones provide the best images of the muscles. This information will help researchers use these imaging techniques to test the safety and effectiveness of GSK2402968 and other agents.
Objectives:
\- To test magnetic resonance imaging and ultrasound techniques that can detect changes in muscles of boys with DMD.
Eligibility:
* Boys who have DMD and are in the GSK2402968 drug test study.
* Healthy boys of the same age as the above study participants.
Design:
* Participants will be screened with a medical history and physical exam.
* Healthy volunteers will have one 2-hour visit with three tests. Magnetic resonance imaging (MRI) scans of the skeletal muscles and heart and diaphragm muscles will be carried out. Muscle ultrasound imaging of leg and arm muscles will also be done. Participants should not perform heavy physical activity like school sports or long walks during the week before the visit.
* Participants in the GSK2402968 study will have the same series of tests as the healthy volunteers. The tests will be given during the study screening phase. They will be repeated after 3 months and 6 months of receiving the study agent (GSK2402968 or placebo) and at 6 months after stopping the GSK study.","Background:
- Duchenne muscular dystrophy (DMD) is a disease in which the muscles are unable to make the protein dystrophin. Without this protein, the muscles become gradually weaker. A new medicine called GSK2402968 is being tested to see if it can help prevent or slow down this loss of muscle strength. In this study, boys with DMD and healthy volunteers will have different types of imaging studies to see which ones provide the best images of the muscles. This information will help researchers use these imaging techniques to test the safety and effectiveness of GSK2402968 and other agents.
Objectives:
- To test magnetic resonance imaging and ultrasound techniques that can detect changes in muscles of boys with DMD.
Eligibility:
* Boys who have DMD and are in the GSK2402968 drug test study.
* Healthy boys of the same age as the above study participants.
Design:
* Participants will be screened with a medical history and physical exam.
* Healthy volunteers will have one 2-hour visit with three tests. Magnetic resonance imaging (MRI) scans of the skeletal muscles and heart and diaphragm muscles will be carried out. Muscle ultrasound imaging of leg and arm muscles will also be done. Participants should not perform heavy physical activity like school sports or long walks during the week before the visit.
* Participants in the GSK2402968 study will have the same series of tests as the healthy volunteers. The tests will be given during the study screening phase. They will be repeated after 3 months and 6 months of receiving the study agent (GSK2402968 or placebo) and at 6 months after stopping the GSK study."
NCT01648634,2025-12-01 07:23:31.834092,2025-11-01 07:17:18.276233,Collaborator Name,"Association Française contre les Myopathies (AFM), Paris, URC-CIC Paris Descartes Necker Cochin","Association Française contre les Myopathies (AFM), Paris"
NCT01834040,2026-02-01 07:37:25.453478,2026-01-01 07:23:50.780214,Org Study Id,00102,102
NCT01834066,2026-02-01 07:37:25.453478,2026-01-01 07:23:50.780214,Secondary Outcome Measure,-Improvement of daily living scale and baseline in EMG(electromyography),#NAME?
NCT01834066,2026-02-01 07:37:25.453478,2026-01-01 07:23:50.780214,Org Study Id,00101,101
NCT01982695,2025-08-01 07:26:41.414466,2025-07-01 07:21:37.005046,Collaborator Name,"Boston Children's Hospital, University of California, Davis, University of Kansas Medical Center, University of Minnesota, St. Louis Children's Hospital","Boston Children's Hospital, University of California, Davis, Unverisity of Kansas Medical Center, University of Minnesota, St. Louis Children's Hospital"
NCT02194725,2025-09-01 07:20:22.089753,2025-08-01 07:26:41.414466,Brief Summary,"Background:
\- Children with Duchenne/Becker Muscular Dystrophy (DBMD) slowly lose muscle function. They usually die at a young age. Some mothers adapt to the demands of caring for a child with this disease better than others. Studies show that a person s hope may positively affect how they cope and adapt. Researchers want to find out more about this. They want to develop ways to improve caregivers overall wellness.
Objective:
\- To study the relationships between uncertainty, hope, and coping ability in mothers of children with DBMD.
Eligibility:
\- Women in the United States 18 years and older. They must be biological mothers of a living child with DBMD and be able to answer a survey in English.
Design:
* This study is part of a larger study that examines the well-being of mothers with sons who have DBMD.
* Participants will take a questionnaire. The questionnaire can be done on paper or on a computer. It will take 30 45 minutes to complete.
* The questionnaire will include basic demographic questions about the participant and the child. There will also be questions about how the participant copes with the stress and uncertainty of DBMD.
* For most of the questions, participants will rate their feelings on a scale. There will also be four open-ended questions.","Background:
- Children with Duchenne/Becker Muscular Dystrophy (DBMD) slowly lose muscle function. They usually die at a young age. Some mothers adapt to the demands of caring for a child with this disease better than others. Studies show that a person s hope may positively affect how they cope and adapt. Researchers want to find out more about this. They want to develop ways to improve caregivers overall wellness.
Objective:
- To study the relationships between uncertainty, hope, and coping ability in mothers of children with DBMD.
Eligibility:
- Women in the United States 18 years and older. They must be biological mothers of a living child with DBMD and be able to answer a survey in English.
Design:
* This study is part of a larger study that examines the well-being of mothers with sons who have DBMD.
* Participants will take a questionnaire. The questionnaire can be done on paper or on a computer. It will take 30 45 minutes to complete.
* The questionnaire will include basic demographic questions about the participant and the child. There will also be questions about how the participant copes with the stress and uncertainty of DBMD.
* For most of the questions, participants will rate their feelings on a scale. There will also be four open-ended questions."
NCT02369731,2026-03-01 07:33:13.464479,2026-02-01 07:37:25.453478,Overall Status,Completed,Active Not Recruiting
NCT02369731,2026-03-01 07:33:13.464479,2026-02-01 07:37:25.453478,Primary Completion Date,2025-03-31,2025-05-30
NCT02369731,2026-03-01 07:33:13.464479,2026-02-01 07:37:25.453478,Completion Date,2025-03-31,2025-05-30
NCT02369731,2026-03-01 07:33:13.464479,2026-02-01 07:37:25.453478,Last Update Post Date,2026-02-24,2025-03-14
NCT02500381,2025-12-01 07:23:31.834092,2025-11-01 07:17:18.276233,Overall Status,Completed,Active Not Recruiting
NCT02606136,2026-02-01 07:37:25.453478,2026-01-01 07:23:50.780214,Lead Sponsor Name,Kyntra Bio,FibroGen
NCT02789059,2026-01-01 07:23:50.780214,2025-12-01 07:23:31.834092,Overall Status,Completed,Unknown
NCT02789059,2026-01-01 07:23:50.780214,2025-12-01 07:23:31.834092,Enrollment Count,17.0,170.0
NCT02789059,2026-05-01 09:01:11.670236,2026-04-01 08:15:57.024034,Last Update Post Date,2026-04-22,2025-12-16
NCT03179631,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Has Results,True,False
NCT03179631,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Primary Outcome Measure,"DB Period: Change From Baseline in 6-Minute Walk Distance (6MWD) at Week 72 - Modified Intention-to-treat (mITT) Population, DB Period: Change From Baseline in 6MWD at Week 72 - Intent-to-Treat (ITT) Population, DB Period: Average Rate of Change From Baseline in 6MWD at Week 72 - mITT Population, DB Period: Average Rate of Change From Baseline in 6MWD at Week 72 - ITT Population",Slope of Change in 6-Minute Walk Distance (6MWD) Over 72 Weeks
NCT03179631,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Secondary Outcome Measure,"DB Period: Change From Baseline in Time to Run/Walk 10 Meters at Week 72 - mITT Population, DB Period: Change From Baseline in Time to Run/Walk 10 Meters at Week 72 - ITT Population, DB Period: Change From Baseline in Time to Climb 4 Stairs at Week 72 - mITT Population, DB Period: Change From Baseline in Time to Climb 4 Stairs at Week 72 - ITT Population, DB Period: Change From Baseline in Time to Descend 4 Stairs at Week 72 - mITT Population, DB Period: Change From Baseline in Time to Descend 4 Stairs at Week 72 - ITT Population, DB Period: Composite of Average Change From Baseline in TFTs at Week 72 - mITT Population, DB Period: Composite of Average Change From Baseline in TFTs at Week 72 - ITT Population, DB Period: Composite of Average Rate of Change From Baseline in TFTs at Week 72 - mITT Population, DB Period: Composite of Average Rate of Change From Baseline in TFTs at Week 72 - ITT Population, DB Period: Time to Persistent 10% Worsening in 6MWD at Week 72 - mITT Population, DB Period: Time to Persistent 10% Worsening in 6MWD - ITT Population, DB Period: Change From Baseline in North Start Ambulatory Assessment (NSAA) Total Score at Week 72 - mITT Population, DB Period: Change From Baseline in NSAA Total Score at Week 72 - ITT Population, DB Period: Time to Loss of Ambulation - mITT Population, DB Period: Time to Loss of Ambulation Over 72 Weeks - ITT Population, DB Period: Time to Loss of Stair-Climbing - mITT Population, DB Period: Time to Loss of Stair-Climbing - ITT Population, DB Period: Time to Loss of Stair-Descending - mITT Population, DB Period: Time to Loss of Stair-Descending - ITT Population, DB Period: Number of Participants With Function Loss of NSAA Items at Week 72 - mITT Population, DB Period: Number of Participants With Function Loss of NSAA Items at Week 72 - ITT Population, DB Period: Number of Participants With Treatment-emergent Adverse Events (TEAEs), Overall Treatment Period: Change From Baseline in 6MWD at Week 144, Overall Treatment Period: Composite of Average Change From Baseline in TFTs at Week 144, Overall Treatment Period: Change From Baseline in Time to Run/Walk 10 Meters at Week 144, Overall Treatment Period: Change From Baseline in Time to Climb 4 Stairs at Week 144, Overall Treatment Period: Change From Baseline in Time to Descend 4 Stairs at Week 144, Overall Treatment Period: Change From Baseline in NSAA Total Score at Week 144, Overall Treatment Period: Time to Loss of Ambulation Over 144 Weeks, Overall Treatment Period: Time to Loss of Stair-Climbing Over 144 Weeks, Overall Treatment Period: Time to Loss of Stair- Descending Over 144 Weeks, Overall Treatment Period: Number of Participants With Function Loss of NSAA Items at Week 144, Overall Treatment Period: Number of Participants With TEAEs, OL Period: Plasma Pharmacokinetic (PK) Concentration of Ataluren","Change from Baseline to Week 72 in 6MWD, Change from Baseline to Week 72 in Time to Run/Walk 10 Meters, Change from Baseline to Week 72 in Time to Climb 4 Stairs, Change from Baseline to Week 72 in Time to Descend 4 Stairs, Change from Baseline to Week 72 in North Start Ambulatory Assessment (NSAA) Total Score, Time to Loss of Ambulation Over 72 Weeks, Time to Loss of Stair-Climbing Over 72 Weeks, Time to Loss of Stair-Descending Over 72 Weeks, Risk of Loss of NSAA Items Over 72 weeks, Number of Treatment-Emergent Adverse Events Considered Related to Study Drug"
NCT03179631,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Last Update Post Date,2026-03-10,2024-01-18
NCT03340675,2026-02-01 07:37:25.453478,2026-01-01 07:23:50.780214,Has Results,True,False
NCT03340675,2026-02-01 07:37:25.453478,2026-01-01 07:23:50.780214,Primary Outcome Measure,Incidence of Treatment-Emergent Adverse Events,Incidence of Treatment-Emergent Adverse Events (safety & tolerability)
NCT03340675,2026-02-01 07:37:25.453478,2026-01-01 07:23:50.780214,Secondary Outcome Measure,"Pharmacokinetics Area Under the Curve, Pharmacokinetics Maximum Serum Concentration (Cmax), Pharmacokinetics Time to Reach Cmax (Tmax) Concentration, Pharmacokinetics Plasma Terminal Half-life Concentration, Change From Baseline in Left Ventricular Ejection Fraction, Change From Baseline in FEV1, Change From Baseline in Percent Predicted FEV1, Change From Baseline in FVC, Change From Baseline in Percent Predicted FVC, Change From Baseline in Maximal Expiratory Pressure, Change From Baseline in Maximal Inspiratory Pressure, Change From Baseline in Peak Expiratory Flow Rate, Change From Baseline in Percent Predicted Peak Expiratory Flow Rate, Change From Baseline in Quality-of-life","Pharmacokinetics Area under the curve, Pharmacokinetics maximum serum concentration (Cmax), Pharmacokinetics time to reach Cmax (Tmax) concentration, Pharmacokinetics plasma terminal half-life concentration, Change from baseline in left ventricular ejection fraction, Change from baseline in pulmonary function, Change from baseline in quality-of-life"
NCT03340675,2026-02-01 07:37:25.453478,2026-01-01 07:23:50.780214,Enrollment Count,46.0,48.0
NCT03340675,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Overall Status,Completed,Active Not Recruiting
NCT03340675,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Completion Date,2026-01-23,2026-01-01
NCT03340675,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Last Update Post Date,2026-03-17,2026-01-26
NCT03362502,2025-10-01 07:19:32.349441,2025-09-01 07:20:22.089753,Overall Status,Terminated,Active Not Recruiting
NCT03368742,2025-07-01 07:21:37.005046,2025-06-01 07:18:56.003730,Brief Summary,"This is a controlled, open-label, single-ascending dose study to evaluate the safety and tolerability of SGT-001 in adolescents and children with Duchenne muscular dystrophy (DMD). Participants will receive a single intravenous (IV) infusion of SGT-001 and will be followed for approximately 5 years.
The protocol was amended to drop the control arm after 4 participants were dosed.","This is a controlled, open-label, single-ascending dose study to evaluate the safety, tolerability and efficacy of SGT-001 in adolescents and children with Duchenne muscular dystrophy (DMD). Participants will receive a single intravenous (IV) infusion of SGT-001 and will be followed for approximately 5 years.
The protocol was amended to drop the control arm after 4 participants were dosed. Participants currently enrolling are assigned to active treatment. Control participants enrolled under original protocol will continue through the study per the original protocol."
NCT03368742,2025-07-01 07:21:37.005046,2025-06-01 07:18:56.003730,Primary Outcome Measure,Number of Participants with Treatment Emergent Adverse Events (TEAEs),Primary safety endpoint
NCT03368742,2025-07-01 07:21:37.005046,2025-06-01 07:18:56.003730,Secondary Outcome Measure,"Number of Participants with Clinically Significant Abnormalities in Laboratory Parameters, Number of Participants with Clinically Significant Abnormalities in Vital Signs, Number of Participants with Clinically Significant Abnormalities in Physical Examinations, Number of Participants with Clinically Significant Abnormalities in Electrocardiogram (ECG), Change from Baseline in Microdystrophin Protein Levels in Muscle Biopsies Using Western Blot (WB), Change from Baseline in Microdystrophin Protein Levels in Muscle Biopsies Using Immunofluorescence (IF), Change from Baseline in North Star Ambulatory Assessment (NSAA) score in Ambulatory Participants, Change from Baseline in 6-minute walk test (6MWT) Distance in Ambulatory Participants, Change from Baseline in Total Upper Limb Function, as Measured by the Total Performance of the Upper Limb (PUL) Functional Scale Score, Change from Baseline in Respiratory Function, as Measured by Forced Vital Capacity (FVC) % Predicted, Forced Expiratory Volume in 1 second (FEV1) % Predicted, and Peak Expiratory Flow (PEF) % Predicted, Change from Baseline in Ejection Fraction, As Measured by Echocardiography, Change from Baseline in Left Ventricular End Systolic Volume, As Measured by Echocardiography, Change from Baseline in Myocardial Peak Circumferential Strain (Ecc), As Measured by Echocardiography, Change from Baseline in Quality of Life as Measured by the Paediatric Quality of Life Inventory (PedsQL) Duchenne muscular dystrophy (DMD) module and self-reported outcome measures as measured by the PODCI DMD module","Secondary safety endpoint, Secondary safety endpoint, Secondary safety endpoint, Secondary safety endpoint, Secondary efficacy endpoint, Secondary efficacy endpoint, Secondary efficacy endpoint, Secondary efficacy endpoint, Secondary efficacy endpoint, Secondary efficacy endpoint, Secondary efficacy endpoint, Secondary efficacy endpoint, Secondary efficacy endpoint"
NCT03368742,2026-03-01 07:33:13.464479,2026-02-01 07:37:25.453478,Last Update Post Date,2026-02-03,2025-12-03
NCT03368742,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Last Update Post Date,2026-03-03,2026-02-03
NCT03373968,2026-02-01 07:37:25.453478,2026-01-01 07:23:50.780214,Overall Status,Recruiting,Active Not Recruiting
NCT03655223,2026-02-01 07:37:25.453478,2026-01-01 07:23:50.780214,Minimum Age Months,0.0333333333333333,0.033333333
NCT03655223,2026-02-01 07:37:25.453478,2026-01-01 07:23:50.780214,Maximum Age Months,1.0333333333333334,1.033333333
NCT03689660,2026-05-01 09:01:11.670236,2026-04-01 08:15:57.024034,Overall Status,Completed,Unknown
NCT03689660,2026-05-01 09:01:11.670236,2026-04-01 08:15:57.024034,Completion Date,2023-05-01,2023-10-01
NCT03689660,2026-05-01 09:01:11.670236,2026-04-01 08:15:57.024034,Last Update Post Date,2026-04-23,2022-06-22
NCT03863119,2025-10-01 07:19:32.349441,2025-09-01 07:20:22.089753,Overall Status,Available,Approved For Marketing
NCT03863119,2025-10-01 07:19:32.349441,2025-09-01 07:20:22.089753,Brief Summary,"The intent of this protocol is to provide continued access to vamorolone for subjects in the United States and Canada who have completed the VBP15-LTE, VBP15- 004, or VBP15-006 protocols (and are thereby ineligible to enroll in another trial of vamorolone therapy), during the time a new drug application for vamorolone is under preparation and review.","The intent of this protocol is to provide continued access to vamorolone for subjects in the United States who Have Completed the VBP15-LTE, VBP15- 004, or VBP15-006 protocols (and are thereby ineligible to enroll in another trial of vamorolone therapy), during the time a new drug application for vamorolone is under preparation and review."
NCT03882827,2026-03-01 07:33:13.464479,2026-02-01 07:37:25.453478,Overall Status,Recruiting,Unknown
NCT03882827,2026-03-01 07:33:13.464479,2026-02-01 07:37:25.453478,Brief Summary,Baseline Study on Duchenne Muscular Dystrophy (DMD) in view to collect data on the natural disease course in a cohort in young male subjects aged from 4 to 9 Years over a period of 6 to 36 months using disease appropriate evaluations.,Baseline Study on Duchenne Muscular Dystrophy (DMD) in view to collect data on the natural disease course in a cohort in young male subjects aged from 5 to 9 Years over a period of 6 to 36 months using disease appropriate evaluations.
NCT03882827,2026-03-01 07:33:13.464479,2026-02-01 07:37:25.453478,Primary Outcome Measure,"NSAA scale, 10 Meter Walk/ Run test (10MW/RT), Raise from floor (RFF), 6 Minutes Walk Test (6 MWT), Myoset : Myo-grip, -pinch, Stride velocity 95th centile (SV95c), Muscle Imaging Nuclear Magnetic Resonance Imaging (NMRI), Pulmonary Function Test (PFT), ECG - Echocardiography, ACTIVLIM, EQ-5D","NSAA scale, 10 Meter Walk/ Run test (10MW/RT), 6 Minutes Walk Test (6 MWT), Myoset : Myo-grip, -pinch, ACTIMYO, Muscle Imaging Nuclear Magnetic Resonance Imaging (NMRI), Pulmonary Function Test (PFT), ECG - Echocardiography, ACTIVLIM, EQ-5D"
NCT03882827,2026-03-01 07:33:13.464479,2026-02-01 07:37:25.453478,Minimum Age,4 Years,5 Years
NCT03882827,2026-03-01 07:33:13.464479,2026-02-01 07:37:25.453478,Minimum Age Months,48.0,60.0
NCT03882827,2026-03-01 07:33:13.464479,2026-02-01 07:37:25.453478,Enrollment Count,220.0,100.0
NCT03882827,2026-03-01 07:33:13.464479,2026-02-01 07:37:25.453478,Primary Completion Date,2029-05-30,2023-06-30
NCT03882827,2026-03-01 07:33:13.464479,2026-02-01 07:37:25.453478,Completion Date,2029-09-30,2023-06-30
NCT03882827,2026-03-01 07:33:13.464479,2026-02-01 07:37:25.453478,Last Update Post Date,2026-02-12,2022-09-07
NCT03936894,2025-10-01 07:19:32.349441,2025-09-01 07:20:22.089753,Overall Status,Unknown,Active Not Recruiting
NCT03992430,2026-03-01 07:33:13.464479,2026-02-01 07:37:25.453478,Last Update Post Date,2026-02-27,2024-12-20
NCT04139460,2026-03-01 07:33:13.464479,2026-02-01 07:37:25.453478,Overall Status,Unknown,Not Yet Recruiting
NCT04240314,2025-10-01 07:19:32.349441,2025-09-01 07:20:22.089753,Overall Status,Completed,Active Not Recruiting
NCT04240314,2025-10-01 07:19:32.349441,2025-09-01 07:20:22.089753,Has Results,True,False
NCT04240314,2025-10-01 07:19:32.349441,2025-09-01 07:20:22.089753,Primary Outcome Measure,Number of Participants With Unacceptable Toxicity.,Monitoring for the development of unacceptable toxicity.
NCT04240314,2025-10-01 07:19:32.349441,2025-09-01 07:20:22.089753,Secondary Outcome Measure,"Change in Dystrophin Expression From Baseline Following Treatment With scAAV9.U7.ACCA., Change in Dystrophin Expression From Baseline Following Treatment With scAAV9.U7.ACCA., Changes in Percent of Exon 2 Skipping/Exclusion in the Dystrophin mRNA Transcript.","Change in dystrophin expression from baseline following treatment with scAAV9.U7.ACCA., Change in dystrophin expression from baseline following treatment with scAAV9.U7.ACCA., Changes in exon 2 inclusion in the dystrophin mRNA transcript."
NCT04240314,2025-10-01 07:19:32.349441,2025-09-01 07:20:22.089753,Collaborator Name,"Audentes Therapeutics, Astellas Pharma Inc",Audentes Therapeutics
NCT04281485,2025-07-01 07:21:37.005046,2025-06-01 07:18:56.003730,Has Results,True,False
NCT04281485,2025-07-01 07:21:37.005046,2025-06-01 07:18:56.003730,Primary Outcome Measure,Change From Baseline in North Star Ambulatory Assessment (NSAA) Total Score at Week 52,Change from Baseline in North Star Ambulatory Assessment (NSAA)
NCT04281485,2025-07-01 07:21:37.005046,2025-06-01 07:18:56.003730,Secondary Outcome Measure,"Change From Baseline in Percent Normal Dystrophin Expression Level in Muscle Biopsies by Liquid Chromatography Mass Spectrometry (LC-MS) Based on LLQV Peptide at Week 52, Change From Baseline in Percent of Muscle Fibers Expressing Mini-Dystrophin in Muscle Biopsies by Immunofluorescence at Week 52, Change From Baseline in Serum Creatine Kinase (CK) Concentration at Week 52, Least Square Mean of Proportion of Skills Gained Based on the Individual Items of the NSAA at Week 52, Least Square Mean of Proportion of Skills Either Improved or Maintained Based on the Individual Items of the NSAA at Week 52, Change From Baseline in 10 Meter Run/Walk Velocity at Week 52, Change From Baseline in Rise From Floor Velocity at Week 52, Change From Baseline in Modified Pediatric Outcome Data Collection Instrument (PODCI)- Transfer and Basic Mobility Core Scale at Week 52, Change From Baseline in Modified PODCI- Sports and Physical Functioning Core Scale at Week 52","Change from Baseline in mini-dystrophin expression level in muscle, Change from Baseline in distribution of mini-dystrophin expression in the muscle, Change from Baseline in serum creatine kinase (CK), Number of skills gained based on the individual items of the NSAA., Number of skills improved or maintained based on the individual items of the NSAA, Change from Baseline in the 10-meter run/walk test velocity, Change from Baseline in the rise from floor velocity, Change from Baseline in the Modified Pediatric Outcomes Data Collection Instrument (PODCI): Transfer and Basic Mobility Core Scale, Change from Baseline in the Modified Pediatric Outcomes Data Collection Instrucment (PODCI): Sports and Physical Functioning Core Scale"
NCT04281485,2025-07-01 07:21:37.005046,2025-06-01 07:18:56.003730,Enrollment Count,114.0,122.0
NCT04281485,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Last Update Post Date,2026-03-02,2026-01-02
NCT04322357,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Overall Status,Completed,Active Not Recruiting
NCT04322357,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Has Results,True,False
NCT04322357,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Intervention Name,"Prednisone, Exercise Training on standard steroid regimen, Exercise training on twice-weekly steroids","Prednisone, In-home Exercise Training, Prednisone plus exercise"
NCT04322357,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Enrollment Count,21.0,89.0
NCT04322357,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Primary Completion Date,2024-12-04,2025-09-05
NCT04322357,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Completion Date,2025-09-04,2025-10-07
NCT04322357,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Last Update Post Date,2026-03-13,2025-02-27
NCT04371666,2026-02-01 07:37:25.453478,2026-01-01 07:23:50.780214,Lead Sponsor Name,Kyntra Bio,FibroGen
